Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
11 Extremadura;Centro América y Caribe;2014;217
11 Extremadura;Centro América y Caribe;2013;203
11 Extremadura;Sudamérica;2021;892
11 Extremadura;Sudamérica;2020;949
11 Extremadura;Sudamérica;2019;1.439
11 Extremadura;Sudamérica;2018;1.000
11 Extremadura;Sudamérica;2017;735
11 Extremadura;Sudamérica;2016;576
11 Extremadura;Sudamérica;2015;405
11 Extremadura;Sudamérica;2014;364
11 Extremadura;Sudamérica;2013;320
11 Extremadura;Asia;2021;106
11 Extremadura;Asia;2020;111
11 Extremadura;Asia;2019;140
11 Extremadura;Asia;2018;130
11 Extremadura;Asia;2017;135
11 Extremadura;Asia;2016;134
11 Extremadura;Asia;2015;92
11 Extremadura;Asia;2014;96
11 Extremadura;Asia;2013;100
11 Extremadura;Oceanía ;2021;4
11 Extremadura;Oceanía ;2020;11
11 Extremadura;Oceanía ;2019;4
11 Extremadura;Oceanía ;2018;7
11 Extremadura;Oceanía ;2017;5
11 Extremadura;Oceanía ;2016;1
11 Extremadura;Oceanía ;2015;4
11 Extremadura;Oceanía ;2014;4
11 Extremadura;Oceanía ;2013;1
12 Galicia;Total;2021;16.789
12 Galicia;Total;2020;14.504
12 Galicia;Total;2019;24.784
12 Galicia;Total;2018;22.255
12 Galicia;Total;2017;17.672
12 Galicia;Total;2016;13.210
12 Galicia;Total;2015;10.181
12 Galicia;Total;2014;8.820
12 Galicia;Total;2013;8.414
12 Galicia;España;2021;2.605
12 Galicia;España;2020;2.097
12 Galicia;España;2019;3.006
12 Galicia;España;2018;3.037
12 Galicia;España;2017;3.234
12 Galicia;España;2016;2.581
12 Galicia;España;2015;2.378
12 Galicia;España;2014;1.995
12 Galicia;España;2013;1.777
12 Galicia;UE27_2020 sin España;2021;1.708
12 Galicia;UE27_2020 sin España;2020;1.780
12 Galicia;UE27_2020 sin España;2019;""
12 Galicia;UE27_2020 sin España;2018;""
12 Galicia;UE27_2020 sin España;2017;""
12 Galicia;UE27_2020 sin España;2016;""
12 Galicia;UE27_2020 sin España;2015;""
12 Galicia;UE27_2020 sin España;2014;""
12 Galicia;UE27_2020 sin España;2013;""
12 Galicia;UE28 sin España;2021;""
12 Galicia;UE28 sin España;2020;""
12 Galicia;UE28 sin España;2019;2.544
12 Galicia;UE28 sin España;2018;2.404
12 Galicia;UE28 sin España;2017;2.365
12 Galicia;UE28 sin España;2016;2.173
12 Galicia;UE28 sin España;2015;2.061
12 Galicia;UE28 sin España;2014;2.058
12 Galicia;UE28 sin España;2013;1.998
12 Galicia;Europa menos UE27_2020;2021;615
12 Galicia;Europa menos UE27_2020;2020;588
12 Galicia;Europa menos UE27_2020;2019;""
12 Galicia;Europa menos UE27_2020;2018;""
12 Galicia;Europa menos UE27_2020;2017;""
12 Galicia;Europa menos UE27_2020;2016;""
12 Galicia;Europa menos UE27_2020;2015;""
12 Galicia;Europa menos UE27_2020;2014;""
12 Galicia;Europa menos UE27_2020;2013;""
12 Galicia;Europa menos UE28;2021;""
12 Galicia;Europa menos UE28;2020;""
12 Galicia;Europa menos UE28;2019;479
12 Galicia;Europa menos UE28;2018;436
12 Galicia;Europa menos UE28;2017;325
12 Galicia;Europa menos UE28;2016;274
12 Galicia;Europa menos UE28;2015;236
12 Galicia;Europa menos UE28;2014;219
12 Galicia;Europa menos UE28;2013;165
12 Galicia;África;2021;1.446
12 Galicia;África;2020;995
12 Galicia;África;2019;1.552
12 Galicia;África;2018;1.351
12 Galicia;África;2017;847
12 Galicia;África;2016;650
12 Galicia;África;2015;588
12 Galicia;África;2014;566
12 Galicia;África;2013;657
12 Galicia;América del Norte;2021;828
12 Galicia;América del Norte;2020;445
12 Galicia;América del Norte;2019;739
12 Galicia;América del Norte;2018;669
12 Galicia;América del Norte;2017;585
12 Galicia;América del Norte;2016;485
12 Galicia;América del Norte;2015;423
12 Galicia;América del Norte;2014;382
12 Galicia;América del Norte;2013;348
12 Galicia;Centro América y Caribe;2021;1.728
12 Galicia;Centro América y Caribe;2020;1.191
12 Galicia;Centro América y Caribe;2019;2.367
12 Galicia;Centro América y Caribe;2018;1.931
12 Galicia;Centro América y Caribe;2017;1.425
12 Galicia;Centro América y Caribe;2016;1.146
12 Galicia;Centro América y Caribe;2015;956
12 Galicia;Centro América y Caribe;2014;993
12 Galicia;Centro América y Caribe;2013;1.159
12 Galicia;Sudamérica;2021;7.148
12 Galicia;Sudamérica;2020;6.917
12 Galicia;Sudamérica;2019;13.462
12 Galicia;Sudamérica;2018;11.874
12 Galicia;Sudamérica;2017;8.400
12 Galicia;Sudamérica;2016;5.506
12 Galicia;Sudamérica;2015;3.205
12 Galicia;Sudamérica;2014;2.255
12 Galicia;Sudamérica;2013;1.989
12 Galicia;Asia;2021;687
12 Galicia;Asia;2020;477
12 Galicia;Asia;2019;599
12 Galicia;Asia;2018;517
12 Galicia;Asia;2017;463
12 Galicia;Asia;2016;378
12 Galicia;Asia;2015;316
12 Galicia;Asia;2014;336
12 Galicia;Asia;2013;297
12 Galicia;Oceanía ;2021;24
12 Galicia;Oceanía ;2020;14
12 Galicia;Oceanía ;2019;36
12 Galicia;Oceanía ;2018;36
12 Galicia;Oceanía ;2017;28
12 Galicia;Oceanía ;2016;17
12 Galicia;Oceanía ;2015;18
12 Galicia;Oceanía ;2014;16
12 Galicia;Oceanía ;2013;24
13 Madrid, Comunidad de;Total;2021;98.870
13 Madrid, Comunidad de;Total;2020;88.610
13 Madrid, Comunidad de;Total;2019;152.635
13 Madrid, Comunidad de;Total;2018;132.096
13 Madrid, Comunidad de;Total;2017;110.495
13 Madrid, Comunidad de;Total;2016;85.010
13 Madrid, Comunidad de;Total;2015;69.638
13 Madrid, Comunidad de;Total;2014;59.831
13 Madrid, Comunidad de;Total;2013;51.677
13 Madrid, Comunidad de;España;2021;8.108
13 Madrid, Comunidad de;España;2020;6.436
13 Madrid, Comunidad de;España;2019;9.249
13 Madrid, Comunidad de;España;2018;8.841
13 Madrid, Comunidad de;España;2017;9.419
13 Madrid, Comunidad de;España;2016;8.509
13 Madrid, Comunidad de;España;2015;7.474
13 Madrid, Comunidad de;España;2014;6.072
13 Madrid, Comunidad de;España;2013;4.762
13 Madrid, Comunidad de;UE27_2020 sin España;2021;8.697
13 Madrid, Comunidad de;UE27_2020 sin España;2020;7.354
13 Madrid, Comunidad de;UE27_2020 sin España;2019;""
13 Madrid, Comunidad de;UE27_2020 sin España;2018;""
13 Madrid, Comunidad de;UE27_2020 sin España;2017;""
13 Madrid, Comunidad de;UE27_2020 sin España;2016;""
13 Madrid, Comunidad de;UE27_2020 sin España;2015;""
13 Madrid, Comunidad de;UE27_2020 sin España;2014;""
13 Madrid, Comunidad de;UE27_2020 sin España;2013;""
13 Madrid, Comunidad de;UE28 sin España;2021;""
13 Madrid, Comunidad de;UE28 sin España;2020;""
13 Madrid, Comunidad de;UE28 sin España;2019;12.647
13 Madrid, Comunidad de;UE28 sin España;2018;12.526
13 Madrid, Comunidad de;UE28 sin España;2017;12.780
13 Madrid, Comunidad de;UE28 sin España;2016;12.059
13 Madrid, Comunidad de;UE28 sin España;2015;11.809
13 Madrid, Comunidad de;UE28 sin España;2014;10.923
13 Madrid, Comunidad de;UE28 sin España;2013;9.972
13 Madrid, Comunidad de;Europa menos UE27_2020;2021;3.448
13 Madrid, Comunidad de;Europa menos UE27_2020;2020;2.942
13 Madrid, Comunidad de;Europa menos UE27_2020;2019;""
13 Madrid, Comunidad de;Europa menos UE27_2020;2018;""
13 Madrid, Comunidad de;Europa menos UE27_2020;2017;""
13 Madrid, Comunidad de;Europa menos UE27_2020;2016;""
13 Madrid, Comunidad de;Europa menos UE27_2020;2015;""
13 Madrid, Comunidad de;Europa menos UE27_2020;2014;""
13 Madrid, Comunidad de;Europa menos UE27_2020;2013;""
13 Madrid, Comunidad de;Europa menos UE28;2021;""
13 Madrid, Comunidad de;Europa menos UE28;2020;""
13 Madrid, Comunidad de;Europa menos UE28;2019;3.027
13 Madrid, Comunidad de;Europa menos UE28;2018;3.071
13 Madrid, Comunidad de;Europa menos UE28;2017;2.942
13 Madrid, Comunidad de;Europa menos UE28;2016;2.664
13 Madrid, Comunidad de;Europa menos UE28;2015;3.023
13 Madrid, Comunidad de;Europa menos UE28;2014;2.255
13 Madrid, Comunidad de;Europa menos UE28;2013;1.624
13 Madrid, Comunidad de;África;2021;6.952
13 Madrid, Comunidad de;África;2020;4.965
13 Madrid, Comunidad de;África;2019;9.061
13 Madrid, Comunidad de;África;2018;8.320
13 Madrid, Comunidad de;África;2017;6.388
13 Madrid, Comunidad de;África;2016;5.694
13 Madrid, Comunidad de;África;2015;5.149
13 Madrid, Comunidad de;África;2014;4.317
13 Madrid, Comunidad de;África;2013;3.702
13 Madrid, Comunidad de;América del Norte;2021;5.882
13 Madrid, Comunidad de;América del Norte;2020;3.670
13 Madrid, Comunidad de;América del Norte;2019;5.782
13 Madrid, Comunidad de;América del Norte;2018;4.965
13 Madrid, Comunidad de;América del Norte;2017;4.327
13 Madrid, Comunidad de;América del Norte;2016;3.397
13 Madrid, Comunidad de;América del Norte;2015;3.732
13 Madrid, Comunidad de;América del Norte;2014;3.539
13 Madrid, Comunidad de;América del Norte;2013;3.797
13 Madrid, Comunidad de;Centro América y Caribe;2021;11.826
13 Madrid, Comunidad de;Centro América y Caribe;2020;12.558
13 Madrid, Comunidad de;Centro América y Caribe;2019;22.671
13 Madrid, Comunidad de;Centro América y Caribe;2018;18.467
13 Madrid, Comunidad de;Centro América y Caribe;2017;15.283
13 Madrid, Comunidad de;Centro América y Caribe;2016;11.108
13 Madrid, Comunidad de;Centro América y Caribe;2015;8.730
13 Madrid, Comunidad de;Centro América y Caribe;2014;8.040
13 Madrid, Comunidad de;Centro América y Caribe;2013;6.978
13 Madrid, Comunidad de;Sudamérica;2021;46.387
13 Madrid, Comunidad de;Sudamérica;2020;45.280
13 Madrid, Comunidad de;Sudamérica;2019;79.158
13 Madrid, Comunidad de;Sudamérica;2018;65.728
13 Madrid, Comunidad de;Sudamérica;2017;50.215
13 Madrid, Comunidad de;Sudamérica;2016;33.449
13 Madrid, Comunidad de;Sudamérica;2015;22.466
13 Madrid, Comunidad de;Sudamérica;2014;17.891
13 Madrid, Comunidad de;Sudamérica;2013;14.181
13 Madrid, Comunidad de;Asia;2021;7.454
13 Madrid, Comunidad de;Asia;2020;5.308
13 Madrid, Comunidad de;Asia;2019;10.838
13 Madrid, Comunidad de;Asia;2018;9.981
13 Madrid, Comunidad de;Asia;2017;8.968
13 Madrid, Comunidad de;Asia;2016;7.982
13 Madrid, Comunidad de;Asia;2015;7.141
13 Madrid, Comunidad de;Asia;2014;6.687
13 Madrid, Comunidad de;Asia;2013;6.529
13 Madrid, Comunidad de;Oceanía ;2021;116
13 Madrid, Comunidad de;Oceanía ;2020;97
13 Madrid, Comunidad de;Oceanía ;2019;202
13 Madrid, Comunidad de;Oceanía ;2018;197
13 Madrid, Comunidad de;Oceanía ;2017;173
13 Madrid, Comunidad de;Oceanía ;2016;148
13 Madrid, Comunidad de;Oceanía ;2015;114
13 Madrid, Comunidad de;Oceanía ;2014;109
13 Madrid, Comunidad de;Oceanía ;2013;132
14 Murcia, Región de;Total;2021;19.121
14 Murcia, Región de;Total;2020;16.936
14 Murcia, Región de;Total;2019;24.233
14 Murcia, Región de;Total;2018;19.886
14 Murcia, Región de;Total;2017;14.706
14 Murcia, Región de;Total;2016;11.080
14 Murcia, Región de;Total;2015;8.784
14 Murcia, Región de;Total;2014;7.461
14 Murcia, Región de;Total;2013;7.162
14 Murcia, Región de;España;2021;729
14 Murcia, Región de;España;2020;618
14 Murcia, Región de;España;2019;908
14 Murcia, Región de;España;2018;711
14 Murcia, Región de;España;2017;817
14 Murcia, Región de;España;2016;695
14 Murcia, Región de;España;2015;699
14 Murcia, Región de;España;2014;565
14 Murcia, Región de;España;2013;546
14 Murcia, Región de;UE27_2020 sin España;2021;1.798
14 Murcia, Región de;UE27_2020 sin España;2020;1.483
14 Murcia, Región de;UE27_2020 sin España;2019;""
14 Murcia, Región de;UE27_2020 sin España;2018;""
14 Murcia, Región de;UE27_2020 sin España;2017;""
14 Murcia, Región de;UE27_2020 sin España;2016;""
14 Murcia, Región de;UE27_2020 sin España;2015;""
14 Murcia, Región de;UE27_2020 sin España;2014;""
14 Murcia, Región de;UE27_2020 sin España;2013;""
14 Murcia, Región de;UE28 sin España;2021;""
14 Murcia, Región de;UE28 sin España;2020;""
14 Murcia, Región de;UE28 sin España;2019;3.876
14 Murcia, Región de;UE28 sin España;2018;3.528
14 Murcia, Región de;UE28 sin España;2017;3.301
14 Murcia, Región de;UE28 sin España;2016;2.918
14 Murcia, Región de;UE28 sin España;2015;2.559
14 Murcia, Región de;UE28 sin España;2014;2.273
14 Murcia, Región de;UE28 sin España;2013;2.102
14 Murcia, Región de;Europa menos UE27_2020;2021;2.037
14 Murcia, Región de;Europa menos UE27_2020;2020;2.596
14 Murcia, Región de;Europa menos UE27_2020;2019;""
14 Murcia, Región de;Europa menos UE27_2020;2018;""
14 Murcia, Región de;Europa menos UE27_2020;2017;""
14 Murcia, Región de;Europa menos UE27_2020;2016;""
14 Murcia, Región de;Europa menos UE27_2020;2015;""
14 Murcia, Región de;Europa menos UE27_2020;2014;""
14 Murcia, Región de;Europa menos UE27_2020;2013;""
14 Murcia, Región de;Europa menos UE28;2021;""
14 Murcia, Región de;Europa menos UE28;2020;""
14 Murcia, Región de;Europa menos UE28;2019;688
14 Murcia, Región de;Europa menos UE28;2018;750
14 Murcia, Región de;Europa menos UE28;2017;647
14 Murcia, Región de;Europa menos UE28;2016;609
14 Murcia, Región de;Europa menos UE28;2015;666
14 Murcia, Región de;Europa menos UE28;2014;525
14 Murcia, Región de;Europa menos UE28;2013;346
14 Murcia, Región de;África;2021;9.081
14 Murcia, Región de;África;2020;5.818
14 Murcia, Región de;África;2019;8.932
14 Murcia, Región de;África;2018;7.446
14 Murcia, Región de;África;2017;4.529
14 Murcia, Región de;África;2016;3.138
14 Murcia, Región de;África;2015;2.410
14 Murcia, Región de;África;2014;1.963
14 Murcia, Región de;África;2013;1.992
14 Murcia, Región de;América del Norte;2021;253
14 Murcia, Región de;América del Norte;2020;120
14 Murcia, Región de;América del Norte;2019;215
14 Murcia, Región de;América del Norte;2018;250
14 Murcia, Región de;América del Norte;2017;271
14 Murcia, Región de;América del Norte;2016;107
14 Murcia, Región de;América del Norte;2015;128
14 Murcia, Región de;América del Norte;2014;108
14 Murcia, Región de;América del Norte;2013;115
14 Murcia, Región de;Centro América y Caribe;2021;982
14 Murcia, Región de;Centro América y Caribe;2020;1.911
14 Murcia, Región de;Centro América y Caribe;2019;2.719
14 Murcia, Región de;Centro América y Caribe;2018;1.936
14 Murcia, Región de;Centro América y Caribe;2017;1.051
14 Murcia, Región de;Centro América y Caribe;2016;631
14 Murcia, Región de;Centro América y Caribe;2015;532
14 Murcia, Región de;Centro América y Caribe;2014;510
14 Murcia, Región de;Centro América y Caribe;2013;552
14 Murcia, Región de;Sudamérica;2021;3.675
14 Murcia, Región de;Sudamérica;2020;3.966
14 Murcia, Región de;Sudamérica;2019;6.059
14 Murcia, Región de;Sudamérica;2018;4.472
14 Murcia, Región de;Sudamérica;2017;3.384
14 Murcia, Región de;Sudamérica;2016;2.425
14 Murcia, Región de;Sudamérica;2015;1.448
14 Murcia, Región de;Sudamérica;2014;1.233
14 Murcia, Región de;Sudamérica;2013;1.189
14 Murcia, Región de;Asia;2021;556
14 Murcia, Región de;Asia;2020;414
14 Murcia, Región de;Asia;2019;821
14 Murcia, Región de;Asia;2018;771
14 Murcia, Región de;Asia;2017;700
14 Murcia, Región de;Asia;2016;547
14 Murcia, Región de;Asia;2015;333
14 Murcia, Región de;Asia;2014;273
14 Murcia, Región de;Asia;2013;316
14 Murcia, Región de;Oceanía ;2021;10
14 Murcia, Región de;Oceanía ;2020;10
14 Murcia, Región de;Oceanía ;2019;15
14 Murcia, Región de;Oceanía ;2018;22
14 Murcia, Región de;Oceanía ;2017;6
14 Murcia, Región de;Oceanía ;2016;12
14 Murcia, Región de;Oceanía ;2015;8
14 Murcia, Región de;Oceanía ;2014;11
14 Murcia, Región de;Oceanía ;2013;4
15 Navarra, Comunidad Foral de;Total;2021;6.232
15 Navarra, Comunidad Foral de;Total;2020;5.862
15 Navarra, Comunidad Foral de;Total;2019;9.856
15 Navarra, Comunidad Foral de;Total;2018;8.916
15 Navarra, Comunidad Foral de;Total;2017;7.007
15 Navarra, Comunidad Foral de;Total;2016;5.192
15 Navarra, Comunidad Foral de;Total;2015;3.983
15 Navarra, Comunidad Foral de;Total;2014;3.651
15 Navarra, Comunidad Foral de;Total;2013;3.287
15 Navarra, Comunidad Foral de;España;2021;396
15 Navarra, Comunidad Foral de;España;2020;306
15 Navarra, Comunidad Foral de;España;2019;413
15 Navarra, Comunidad Foral de;España;2018;433
15 Navarra, Comunidad Foral de;España;2017;481
15 Navarra, Comunidad Foral de;España;2016;445
15 Navarra, Comunidad Foral de;España;2015;404
15 Navarra, Comunidad Foral de;España;2014;371
15 Navarra, Comunidad Foral de;España;2013;284
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2021;735
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2020;725
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2019;""
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2018;""
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2017;""
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2016;""
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2015;""
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2014;""
15 Navarra, Comunidad Foral de;UE27_2020 sin España;2013;""
15 Navarra, Comunidad Foral de;UE28 sin España;2021;""
15 Navarra, Comunidad Foral de;UE28 sin España;2020;""
15 Navarra, Comunidad Foral de;UE28 sin España;2019;1.079
15 Navarra, Comunidad Foral de;UE28 sin España;2018;1.151
15 Navarra, Comunidad Foral de;UE28 sin España;2017;1.052
15 Navarra, Comunidad Foral de;UE28 sin España;2016;888
15 Navarra, Comunidad Foral de;UE28 sin España;2015;848
15 Navarra, Comunidad Foral de;UE28 sin España;2014;743
15 Navarra, Comunidad Foral de;UE28 sin España;2013;728
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2021;295
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2020;221
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2019;""
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2018;""
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2017;""
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2016;""
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2015;""
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2014;""
15 Navarra, Comunidad Foral de;Europa menos UE27_2020;2013;""
15 Navarra, Comunidad Foral de;Europa menos UE28;2021;""
15 Navarra, Comunidad Foral de;Europa menos UE28;2020;""
15 Navarra, Comunidad Foral de;Europa menos UE28;2019;323
15 Navarra, Comunidad Foral de;Europa menos UE28;2018;336
15 Navarra, Comunidad Foral de;Europa menos UE28;2017;315
15 Navarra, Comunidad Foral de;Europa menos UE28;2016;204
15 Navarra, Comunidad Foral de;Europa menos UE28;2015;190
15 Navarra, Comunidad Foral de;Europa menos UE28;2014;185
15 Navarra, Comunidad Foral de;Europa menos UE28;2013;108
15 Navarra, Comunidad Foral de;África;2021;1.232
15 Navarra, Comunidad Foral de;África;2020;1.222
15 Navarra, Comunidad Foral de;África;2019;1.925
15 Navarra, Comunidad Foral de;África;2018;1.660
15 Navarra, Comunidad Foral de;África;2017;1.121
15 Navarra, Comunidad Foral de;África;2016;955
15 Navarra, Comunidad Foral de;África;2015;694
15 Navarra, Comunidad Foral de;África;2014;660
15 Navarra, Comunidad Foral de;África;2013;604
15 Navarra, Comunidad Foral de;América del Norte;2021;258
15 Navarra, Comunidad Foral de;América del Norte;2020;150
15 Navarra, Comunidad Foral de;América del Norte;2019;195
15 Navarra, Comunidad Foral de;América del Norte;2018;272
15 Navarra, Comunidad Foral de;América del Norte;2017;235
15 Navarra, Comunidad Foral de;América del Norte;2016;161
15 Navarra, Comunidad Foral de;América del Norte;2015;156
15 Navarra, Comunidad Foral de;América del Norte;2014;117
15 Navarra, Comunidad Foral de;América del Norte;2013;131
15 Navarra, Comunidad Foral de;Centro América y Caribe;2021;635
15 Navarra, Comunidad Foral de;Centro América y Caribe;2020;674
15 Navarra, Comunidad Foral de;Centro América y Caribe;2019;1.277
15 Navarra, Comunidad Foral de;Centro América y Caribe;2018;1.164
15 Navarra, Comunidad Foral de;Centro América y Caribe;2017;831
15 Navarra, Comunidad Foral de;Centro América y Caribe;2016;547
15 Navarra, Comunidad Foral de;Centro América y Caribe;2015;426
15 Navarra, Comunidad Foral de;Centro América y Caribe;2014;407
15 Navarra, Comunidad Foral de;Centro América y Caribe;2013;349
15 Navarra, Comunidad Foral de;Sudamérica;2021;2.403
15 Navarra, Comunidad Foral de;Sudamérica;2020;2.377
15 Navarra, Comunidad Foral de;Sudamérica;2019;4.282
15 Navarra, Comunidad Foral de;Sudamérica;2018;3.584
15 Navarra, Comunidad Foral de;Sudamérica;2017;2.715
15 Navarra, Comunidad Foral de;Sudamérica;2016;1.799
15 Navarra, Comunidad Foral de;Sudamérica;2015;1.093
15 Navarra, Comunidad Foral de;Sudamérica;2014;992
15 Navarra, Comunidad Foral de;Sudamérica;2013;864
15 Navarra, Comunidad Foral de;Asia;2021;273
15 Navarra, Comunidad Foral de;Asia;2020;185
15 Navarra, Comunidad Foral de;Asia;2019;348
15 Navarra, Comunidad Foral de;Asia;2018;306
15 Navarra, Comunidad Foral de;Asia;2017;246
15 Navarra, Comunidad Foral de;Asia;2016;182
15 Navarra, Comunidad Foral de;Asia;2015;157
15 Navarra, Comunidad Foral de;Asia;2014;168
15 Navarra, Comunidad Foral de;Asia;2013;204
15 Navarra, Comunidad Foral de;Oceanía ;2021;5
15 Navarra, Comunidad Foral de;Oceanía ;2020;2
15 Navarra, Comunidad Foral de;Oceanía ;2019;14
15 Navarra, Comunidad Foral de;Oceanía ;2018;10
15 Navarra, Comunidad Foral de;Oceanía ;2017;11
15 Navarra, Comunidad Foral de;Oceanía ;2016;11
15 Navarra, Comunidad Foral de;Oceanía ;2015;16
15 Navarra, Comunidad Foral de;Oceanía ;2014;8
15 Navarra, Comunidad Foral de;Oceanía ;2013;13
16 País Vasco;Total;2021;14.257
16 País Vasco;Total;2020;15.603
16 País Vasco;Total;2019;26.499
16 País Vasco;Total;2018;21.357
16 País Vasco;Total;2017;17.616
16 País Vasco;Total;2016;14.129
16 País Vasco;Total;2015;10.860
16 País Vasco;Total;2014;9.829
16 País Vasco;Total;2013;8.927
16 País Vasco;España;2021;1.256
16 País Vasco;España;2020;1.123
16 País Vasco;España;2019;1.345
16 País Vasco;España;2018;1.394
16 País Vasco;España;2017;1.496
16 País Vasco;España;2016;1.394
16 País Vasco;España;2015;1.303
16 País Vasco;España;2014;1.153
16 País Vasco;España;2013;936
16 País Vasco;UE27_2020 sin España;2021;1.421
16 País Vasco;UE27_2020 sin España;2020;1.434
16 País Vasco;UE27_2020 sin España;2019;""
16 País Vasco;UE27_2020 sin España;2018;""
16 País Vasco;UE27_2020 sin España;2017;""
16 País Vasco;UE27_2020 sin España;2016;""
16 País Vasco;UE27_2020 sin España;2015;""
16 País Vasco;UE27_2020 sin España;2014;""
16 País Vasco;UE27_2020 sin España;2013;""
16 País Vasco;UE28 sin España;2021;""
16 País Vasco;UE28 sin España;2020;""
16 País Vasco;UE28 sin España;2019;2.118
16 País Vasco;UE28 sin España;2018;2.069
16 País Vasco;UE28 sin España;2017;2.165
16 País Vasco;UE28 sin España;2016;1.874
16 País Vasco;UE28 sin España;2015;1.808
16 País Vasco;UE28 sin España;2014;1.786
16 País Vasco;UE28 sin España;2013;1.766
16 País Vasco;Europa menos UE27_2020;2021;582
16 País Vasco;Europa menos UE27_2020;2020;566
16 País Vasco;Europa menos UE27_2020;2019;""
16 País Vasco;Europa menos UE27_2020;2018;""
16 País Vasco;Europa menos UE27_2020;2017;""
16 País Vasco;Europa menos UE27_2020;2016;""
16 País Vasco;Europa menos UE27_2020;2015;""
16 País Vasco;Europa menos UE27_2020;2014;""
16 País Vasco;Europa menos UE27_2020;2013;""
16 País Vasco;Europa menos UE28;2021;""
16 País Vasco;Europa menos UE28;2020;""
16 País Vasco;Europa menos UE28;2019;758
16 País Vasco;Europa menos UE28;2018;679
16 País Vasco;Europa menos UE28;2017;622
16 País Vasco;Europa menos UE28;2016;472
16 País Vasco;Europa menos UE28;2015;437
16 País Vasco;Europa menos UE28;2014;438
16 País Vasco;Europa menos UE28;2013;276
16 País Vasco;África;2021;3.121
16 País Vasco;África;2020;2.607
16 País Vasco;África;2019;4.346
16 País Vasco;África;2018;3.648
16 País Vasco;África;2017;2.754
16 País Vasco;África;2016;2.228
16 País Vasco;África;2015;1.727
16 País Vasco;África;2014;1.586
16 País Vasco;África;2013;1.616
16 País Vasco;América del Norte;2021;451
16 País Vasco;América del Norte;2020;379
16 País Vasco;América del Norte;2019;574
16 País Vasco;América del Norte;2018;473
16 País Vasco;América del Norte;2017;381
16 País Vasco;América del Norte;2016;335
16 País Vasco;América del Norte;2015;336
16 País Vasco;América del Norte;2014;254
16 País Vasco;América del Norte;2013;289
16 País Vasco;Centro América y Caribe;2021;1.447
16 País Vasco;Centro América y Caribe;2020;3.076
16 País Vasco;Centro América y Caribe;2019;5.854
16 País Vasco;Centro América y Caribe;2018;4.602
16 País Vasco;Centro América y Caribe;2017;3.403
16 País Vasco;Centro América y Caribe;2016;2.402
16 País Vasco;Centro América y Caribe;2015;1.788
16 País Vasco;Centro América y Caribe;2014;1.609
16 País Vasco;Centro América y Caribe;2013;1.333
16 País Vasco;Sudamérica;2021;4.796
16 País Vasco;Sudamérica;2020;5.623
16 País Vasco;Sudamérica;2019;10.121
16 País Vasco;Sudamérica;2018;7.420
16 País Vasco;Sudamérica;2017;5.841
16 País Vasco;Sudamérica;2016;4.512
16 País Vasco;Sudamérica;2015;2.698
16 País Vasco;Sudamérica;2014;2.175
16 País Vasco;Sudamérica;2013;1.733
16 País Vasco;Asia;2021;1.163
16 País Vasco;Asia;2020;770
16 País Vasco;Asia;2019;1.333
16 País Vasco;Asia;2018;1.045
16 País Vasco;Asia;2017;927
16 País Vasco;Asia;2016;890
16 País Vasco;Asia;2015;743
16 País Vasco;Asia;2014;804
16 País Vasco;Asia;2013;946
16 País Vasco;Oceanía ;2021;20
16 País Vasco;Oceanía ;2020;25
16 País Vasco;Oceanía ;2019;50
16 País Vasco;Oceanía ;2018;27
16 País Vasco;Oceanía ;2017;27
16 País Vasco;Oceanía ;2016;24
16 País Vasco;Oceanía ;2015;21
16 País Vasco;Oceanía ;2014;25
16 País Vasco;Oceanía ;2013;32
17 Rioja, La;Total;2021;2.845
17 Rioja, La;Total;2020;2.592
17 Rioja, La;Total;2019;3.851
17 Rioja, La;Total;2018;3.234
17 Rioja, La;Total;2017;2.408
17 Rioja, La;Total;2016;2.075
17 Rioja, La;Total;2015;1.710
17 Rioja, La;Total;2014;1.402
17 Rioja, La;Total;2013;1.260
17 Rioja, La;España;2021;184
17 Rioja, La;España;2020;142
17 Rioja, La;España;2019;181
17 Rioja, La;España;2018;172
17 Rioja, La;España;2017;230
17 Rioja, La;España;2016;198
17 Rioja, La;España;2015;158
17 Rioja, La;España;2014;125
17 Rioja, La;España;2013;107
17 Rioja, La;UE27_2020 sin España;2021;405
17 Rioja, La;UE27_2020 sin España;2020;353
17 Rioja, La;UE27_2020 sin España;2019;""
