Comunidades y ciudades autónomas;País de nacimiento;Periodo;Total
02 Aragón;Europa menos UE27_2020;2017;""
02 Aragón;Europa menos UE27_2020;2016;""
02 Aragón;Europa menos UE27_2020;2015;""
02 Aragón;Europa menos UE27_2020;2014;""
02 Aragón;Europa menos UE27_2020;2013;""
02 Aragón;Europa menos UE28;2021;""
02 Aragón;Europa menos UE28;2020;""
02 Aragón;Europa menos UE28;2019;430
02 Aragón;Europa menos UE28;2018;386
02 Aragón;Europa menos UE28;2017;256
02 Aragón;Europa menos UE28;2016;194
02 Aragón;Europa menos UE28;2015;197
02 Aragón;Europa menos UE28;2014;197
02 Aragón;Europa menos UE28;2013;127
02 Aragón;África;2021;3.412
02 Aragón;África;2020;2.549
02 Aragón;África;2019;3.740
02 Aragón;África;2018;3.021
02 Aragón;África;2017;2.095
02 Aragón;África;2016;1.641
02 Aragón;África;2015;1.287
02 Aragón;África;2014;1.200
02 Aragón;África;2013;1.201
02 Aragón;América del Norte;2021;175
02 Aragón;América del Norte;2020;132
02 Aragón;América del Norte;2019;273
02 Aragón;América del Norte;2018;215
02 Aragón;América del Norte;2017;186
02 Aragón;América del Norte;2016;169
02 Aragón;América del Norte;2015;118
02 Aragón;América del Norte;2014;107
02 Aragón;América del Norte;2013;102
02 Aragón;Centro América y Caribe;2021;1.370
02 Aragón;Centro América y Caribe;2020;2.021
02 Aragón;Centro América y Caribe;2019;4.360
02 Aragón;Centro América y Caribe;2018;3.858
02 Aragón;Centro América y Caribe;2017;2.150
02 Aragón;Centro América y Caribe;2016;1.442
02 Aragón;Centro América y Caribe;2015;1.045
02 Aragón;Centro América y Caribe;2014;846
02 Aragón;Centro América y Caribe;2013;781
02 Aragón;Sudamérica;2021;2.897
02 Aragón;Sudamérica;2020;2.993
02 Aragón;Sudamérica;2019;5.310
02 Aragón;Sudamérica;2018;4.101
02 Aragón;Sudamérica;2017;2.554
02 Aragón;Sudamérica;2016;1.769
02 Aragón;Sudamérica;2015;975
02 Aragón;Sudamérica;2014;716
02 Aragón;Sudamérica;2013;742
02 Aragón;Asia;2021;832
02 Aragón;Asia;2020;446
02 Aragón;Asia;2019;917
02 Aragón;Asia;2018;894
02 Aragón;Asia;2017;724
02 Aragón;Asia;2016;562
02 Aragón;Asia;2015;424
02 Aragón;Asia;2014;376
02 Aragón;Asia;2013;511
02 Aragón;Oceanía ;2021;8
02 Aragón;Oceanía ;2020;7
02 Aragón;Oceanía ;2019;11
02 Aragón;Oceanía ;2018;15
02 Aragón;Oceanía ;2017;13
02 Aragón;Oceanía ;2016;10
02 Aragón;Oceanía ;2015;9
02 Aragón;Oceanía ;2014;9
02 Aragón;Oceanía ;2013;4
03 Asturias, Principado de;Total;2021;4.877
03 Asturias, Principado de;Total;2020;4.568
03 Asturias, Principado de;Total;2019;7.783
03 Asturias, Principado de;Total;2018;6.342
03 Asturias, Principado de;Total;2017;5.292
03 Asturias, Principado de;Total;2016;4.738
03 Asturias, Principado de;Total;2015;3.795
03 Asturias, Principado de;Total;2014;3.373
03 Asturias, Principado de;Total;2013;3.225
03 Asturias, Principado de;España;2021;616
03 Asturias, Principado de;España;2020;549
03 Asturias, Principado de;España;2019;730
03 Asturias, Principado de;España;2018;717
03 Asturias, Principado de;España;2017;713
03 Asturias, Principado de;España;2016;679
03 Asturias, Principado de;España;2015;557
03 Asturias, Principado de;España;2014;468
