Lugar de condena;Nacionalidad;Periodo;Total
02 Aragón;País de Europa menos UE28;2020;""
02 Aragón;País de Europa menos UE28;2019;65
02 Aragón;País de Europa menos UE28;2018;94
02 Aragón;País de Europa menos UE28;2017;63
02 Aragón;País de Europa menos UE28;2016;70
02 Aragón;País de Europa menos UE28;2015;44
02 Aragón;País de Europa menos UE28;2014;33
02 Aragón;País de Europa menos UE28;2013;46
02 Aragón;País de Europa menos UE27_2020;2021;90
02 Aragón;País de Europa menos UE27_2020;2020;53
02 Aragón;País de Europa menos UE27_2020;2019;""
02 Aragón;País de Europa menos UE27_2020;2018;""
02 Aragón;País de Europa menos UE27_2020;2017;""
02 Aragón;País de Europa menos UE27_2020;2016;""
02 Aragón;País de Europa menos UE27_2020;2015;""
02 Aragón;País de Europa menos UE27_2020;2014;""
02 Aragón;País de Europa menos UE27_2020;2013;""
02 Aragón;De Africa;2021;1.028
02 Aragón;De Africa;2020;656
02 Aragón;De Africa;2019;772
02 Aragón;De Africa;2018;648
02 Aragón;De Africa;2017;578
02 Aragón;De Africa;2016;580
02 Aragón;De Africa;2015;477
02 Aragón;De Africa;2014;417
02 Aragón;De Africa;2013;418
02 Aragón;De América;2021;861
02 Aragón;De América;2020;652
02 Aragón;De América;2019;761
02 Aragón;De América;2018;637
02 Aragón;De América;2017;665
02 Aragón;De América;2016;573
02 Aragón;De América;2015;487
02 Aragón;De América;2014;578
02 Aragón;De América;2013;547
02 Aragón;De Asia;2021;92
02 Aragón;De Asia;2020;41
02 Aragón;De Asia;2019;64
02 Aragón;De Asia;2018;55
02 Aragón;De Asia;2017;52
02 Aragón;De Asia;2016;53
02 Aragón;De Asia;2015;41
02 Aragón;De Asia;2014;50
02 Aragón;De Asia;2013;27
02 Aragón;De Oceanía;2021;0
02 Aragón;De Oceanía;2020;0
02 Aragón;De Oceanía;2019;0
02 Aragón;De Oceanía;2018;0
02 Aragón;De Oceanía;2017;0
02 Aragón;De Oceanía;2016;1
02 Aragón;De Oceanía;2015;0
02 Aragón;De Oceanía;2014;0
02 Aragón;De Oceanía;2013;2
03 Asturias, Principado de;Total;2021;8.579
03 Asturias, Principado de;Total;2020;6.570
