Lugar de condena;Edad;Sexo;Periodo;Total
01 Andalucía;16 años;Mujeres;2013;191
01 Andalucía;17 años;Total;2021;762
01 Andalucía;17 años;Total;2020;724
01 Andalucía;17 años;Total;2019;870
01 Andalucía;17 años;Total;2018;815
01 Andalucía;17 años;Total;2017;822
01 Andalucía;17 años;Total;2016;868
01 Andalucía;17 años;Total;2015;981
01 Andalucía;17 años;Total;2014;1.045
01 Andalucía;17 años;Total;2013;1.121
01 Andalucía;17 años;Hombres;2021;641
01 Andalucía;17 años;Hombres;2020;598
01 Andalucía;17 años;Hombres;2019;720
01 Andalucía;17 años;Hombres;2018;684
01 Andalucía;17 años;Hombres;2017;704
01 Andalucía;17 años;Hombres;2016;718
01 Andalucía;17 años;Hombres;2015;810
01 Andalucía;17 años;Hombres;2014;880
01 Andalucía;17 años;Hombres;2013;950
01 Andalucía;17 años;Mujeres;2021;121
01 Andalucía;17 años;Mujeres;2020;126
01 Andalucía;17 años;Mujeres;2019;150
01 Andalucía;17 años;Mujeres;2018;131
01 Andalucía;17 años;Mujeres;2017;118
01 Andalucía;17 años;Mujeres;2016;150
01 Andalucía;17 años;Mujeres;2015;171
01 Andalucía;17 años;Mujeres;2014;165
01 Andalucía;17 años;Mujeres;2013;171
02 Aragón;Total;Total;2021;380
02 Aragón;Total;Total;2020;274
02 Aragón;Total;Total;2019;328
02 Aragón;Total;Total;2018;316
02 Aragón;Total;Total;2017;313
02 Aragón;Total;Total;2016;250
02 Aragón;Total;Total;2015;231
02 Aragón;Total;Total;2014;274
02 Aragón;Total;Total;2013;303
02 Aragón;Total;Hombres;2021;306
02 Aragón;Total;Hombres;2020;239
02 Aragón;Total;Hombres;2019;267
02 Aragón;Total;Hombres;2018;251
02 Aragón;Total;Hombres;2017;261
02 Aragón;Total;Hombres;2016;211
02 Aragón;Total;Hombres;2015;189
02 Aragón;Total;Hombres;2014;216
02 Aragón;Total;Hombres;2013;248
02 Aragón;Total;Mujeres;2021;74
02 Aragón;Total;Mujeres;2020;35
02 Aragón;Total;Mujeres;2019;61
02 Aragón;Total;Mujeres;2018;65
02 Aragón;Total;Mujeres;2017;52
02 Aragón;Total;Mujeres;2016;39
02 Aragón;Total;Mujeres;2015;42
02 Aragón;Total;Mujeres;2014;58
02 Aragón;Total;Mujeres;2013;55
02 Aragón;14 años;Total;2021;69
02 Aragón;14 años;Total;2020;43
02 Aragón;14 años;Total;2019;60
02 Aragón;14 años;Total;2018;53
02 Aragón;14 años;Total;2017;59
02 Aragón;14 años;Total;2016;53
02 Aragón;14 años;Total;2015;38
02 Aragón;14 años;Total;2014;43
02 Aragón;14 años;Total;2013;51
02 Aragón;14 años;Hombres;2021;49
02 Aragón;14 años;Hombres;2020;33
02 Aragón;14 años;Hombres;2019;42
02 Aragón;14 años;Hombres;2018;40
02 Aragón;14 años;Hombres;2017;49
02 Aragón;14 años;Hombres;2016;45
02 Aragón;14 años;Hombres;2015;33
02 Aragón;14 años;Hombres;2014;29
02 Aragón;14 años;Hombres;2013;41
02 Aragón;14 años;Mujeres;2021;20
02 Aragón;14 años;Mujeres;2020;10
02 Aragón;14 años;Mujeres;2019;18
02 Aragón;14 años;Mujeres;2018;13
02 Aragón;14 años;Mujeres;2017;10
02 Aragón;14 años;Mujeres;2016;8
02 Aragón;14 años;Mujeres;2015;5
02 Aragón;14 años;Mujeres;2014;14
02 Aragón;14 años;Mujeres;2013;10
02 Aragón;15 años;Total;2021;71
02 Aragón;15 años;Total;2020;49
02 Aragón;15 años;Total;2019;67
02 Aragón;15 años;Total;2018;71
02 Aragón;15 años;Total;2017;78
02 Aragón;15 años;Total;2016;60
02 Aragón;15 años;Total;2015;54
02 Aragón;15 años;Total;2014;60
02 Aragón;15 años;Total;2013;73
02 Aragón;15 años;Hombres;2021;51
02 Aragón;15 años;Hombres;2020;40
02 Aragón;15 años;Hombres;2019;53
02 Aragón;15 años;Hombres;2018;56
02 Aragón;15 años;Hombres;2017;60
02 Aragón;15 años;Hombres;2016;52
02 Aragón;15 años;Hombres;2015;46
02 Aragón;15 años;Hombres;2014;47
02 Aragón;15 años;Hombres;2013;52
02 Aragón;15 años;Mujeres;2021;20
02 Aragón;15 años;Mujeres;2020;9
02 Aragón;15 años;Mujeres;2019;14
02 Aragón;15 años;Mujeres;2018;15
02 Aragón;15 años;Mujeres;2017;18
02 Aragón;15 años;Mujeres;2016;8
02 Aragón;15 años;Mujeres;2015;8
02 Aragón;15 años;Mujeres;2014;13
02 Aragón;15 años;Mujeres;2013;21
02 Aragón;16 años;Total;2021;106
02 Aragón;16 años;Total;2020;73
02 Aragón;16 años;Total;2019;93
02 Aragón;16 años;Total;2018;90
02 Aragón;16 años;Total;2017;75
02 Aragón;16 años;Total;2016;74
02 Aragón;16 años;Total;2015;57
02 Aragón;16 años;Total;2014;76
02 Aragón;16 años;Total;2013;104
02 Aragón;16 años;Hombres;2021;87
02 Aragón;16 años;Hombres;2020;63
02 Aragón;16 años;Hombres;2019;76
02 Aragón;16 años;Hombres;2018;75
02 Aragón;16 años;Hombres;2017;61
02 Aragón;16 años;Hombres;2016;63
02 Aragón;16 años;Hombres;2015;47
02 Aragón;16 años;Hombres;2014;62
02 Aragón;16 años;Hombres;2013;90
02 Aragón;16 años;Mujeres;2021;19
02 Aragón;16 años;Mujeres;2020;10
02 Aragón;16 años;Mujeres;2019;17
02 Aragón;16 años;Mujeres;2018;15
02 Aragón;16 años;Mujeres;2017;14
02 Aragón;16 años;Mujeres;2016;11
02 Aragón;16 años;Mujeres;2015;10
02 Aragón;16 años;Mujeres;2014;14
02 Aragón;16 años;Mujeres;2013;14
02 Aragón;17 años;Total;2021;134
02 Aragón;17 años;Total;2020;109
02 Aragón;17 años;Total;2019;108
02 Aragón;17 años;Total;2018;102
02 Aragón;17 años;Total;2017;101
