Lugar de condena;Sexo;Nacionalidad;Periodo;Total
04 Balears, Illes;Mujeres;Extranjera;2019;11
04 Balears, Illes;Mujeres;Extranjera;2018;17
04 Balears, Illes;Mujeres;Extranjera;2017;18
04 Balears, Illes;Mujeres;Extranjera;2016;19
04 Balears, Illes;Mujeres;Extranjera;2015;20
04 Balears, Illes;Mujeres;Extranjera;2014;26
04 Balears, Illes;Mujeres;Extranjera;2013;27
05 Canarias;Total;Total;2021;877
05 Canarias;Total;Total;2020;750
05 Canarias;Total;Total;2019;1.051
05 Canarias;Total;Total;2018;846
05 Canarias;Total;Total;2017;766
05 Canarias;Total;Total;2016;968
05 Canarias;Total;Total;2015;1.019
05 Canarias;Total;Total;2014;728
05 Canarias;Total;Total;2013;579
05 Canarias;Total;Española;2021;694
05 Canarias;Total;Española;2020;630
05 Canarias;Total;Española;2019;884
05 Canarias;Total;Española;2018;766
05 Canarias;Total;Española;2017;682
05 Canarias;Total;Española;2016;869
05 Canarias;Total;Española;2015;899
05 Canarias;Total;Española;2014;647
05 Canarias;Total;Española;2013;481
05 Canarias;Total;Extranjera;2021;183
05 Canarias;Total;Extranjera;2020;120
05 Canarias;Total;Extranjera;2019;167
05 Canarias;Total;Extranjera;2018;80
05 Canarias;Total;Extranjera;2017;84
05 Canarias;Total;Extranjera;2016;99
05 Canarias;Total;Extranjera;2015;120
05 Canarias;Total;Extranjera;2014;81
05 Canarias;Total;Extranjera;2013;98
05 Canarias;Hombres;Total;2021;690
05 Canarias;Hombres;Total;2020;600
05 Canarias;Hombres;Total;2019;804
05 Canarias;Hombres;Total;2018;629
05 Canarias;Hombres;Total;2017;572
05 Canarias;Hombres;Total;2016;757
05 Canarias;Hombres;Total;2015;796
05 Canarias;Hombres;Total;2014;595
05 Canarias;Hombres;Total;2013;448
05 Canarias;Hombres;Española;2021;515
05 Canarias;Hombres;Española;2020;494
05 Canarias;Hombres;Española;2019;659
05 Canarias;Hombres;Española;2018;563
05 Canarias;Hombres;Española;2017;501
05 Canarias;Hombres;Española;2016;673
05 Canarias;Hombres;Española;2015;691
05 Canarias;Hombres;Española;2014;522
05 Canarias;Hombres;Española;2013;367
05 Canarias;Hombres;Extranjera;2021;175
05 Canarias;Hombres;Extranjera;2020;106
05 Canarias;Hombres;Extranjera;2019;145
05 Canarias;Hombres;Extranjera;2018;66
05 Canarias;Hombres;Extranjera;2017;71
05 Canarias;Hombres;Extranjera;2016;84
05 Canarias;Hombres;Extranjera;2015;105
05 Canarias;Hombres;Extranjera;2014;73
05 Canarias;Hombres;Extranjera;2013;81
05 Canarias;Mujeres;Total;2021;187
05 Canarias;Mujeres;Total;2020;150
05 Canarias;Mujeres;Total;2019;247
05 Canarias;Mujeres;Total;2018;217
05 Canarias;Mujeres;Total;2017;194
05 Canarias;Mujeres;Total;2016;211
05 Canarias;Mujeres;Total;2015;223
05 Canarias;Mujeres;Total;2014;133
05 Canarias;Mujeres;Total;2013;131
05 Canarias;Mujeres;Española;2021;179
05 Canarias;Mujeres;Española;2020;136
05 Canarias;Mujeres;Española;2019;225
05 Canarias;Mujeres;Española;2018;203
