Comunidades y ciudades autónomas;Sexo;Nacionalidad;Periodo;Total
02 Aragón;Mujeres;Total;2015;899
02 Aragón;Mujeres;Total;2014;692
02 Aragón;Mujeres;Total;2013;570
02 Aragón;Mujeres;Española;2021;962
02 Aragón;Mujeres;Española;2020;766
02 Aragón;Mujeres;Española;2019;1.018
02 Aragón;Mujeres;Española;2018;961
02 Aragón;Mujeres;Española;2017;1.033
02 Aragón;Mujeres;Española;2016;1.005
02 Aragón;Mujeres;Española;2015;694
02 Aragón;Mujeres;Española;2014;547
02 Aragón;Mujeres;Española;2013;411
02 Aragón;Mujeres;Extranjera;2021;355
02 Aragón;Mujeres;Extranjera;2020;272
02 Aragón;Mujeres;Extranjera;2019;333
02 Aragón;Mujeres;Extranjera;2018;330
02 Aragón;Mujeres;Extranjera;2017;335
02 Aragón;Mujeres;Extranjera;2016;311
02 Aragón;Mujeres;Extranjera;2015;205
02 Aragón;Mujeres;Extranjera;2014;145
02 Aragón;Mujeres;Extranjera;2013;159
03 Asturias, Principado de;Total;Total;2021;5.861
03 Asturias, Principado de;Total;Total;2020;4.765
03 Asturias, Principado de;Total;Total;2019;6.202
03 Asturias, Principado de;Total;Total;2018;6.309
03 Asturias, Principado de;Total;Total;2017;6.436
03 Asturias, Principado de;Total;Total;2016;6.311
03 Asturias, Principado de;Total;Total;2015;4.683
03 Asturias, Principado de;Total;Total;2014;4.713
03 Asturias, Principado de;Total;Total;2013;4.702
03 Asturias, Principado de;Total;Española;2021;5.210
03 Asturias, Principado de;Total;Española;2020;4.318
03 Asturias, Principado de;Total;Española;2019;5.590
03 Asturias, Principado de;Total;Española;2018;5.732
03 Asturias, Principado de;Total;Española;2017;5.824
03 Asturias, Principado de;Total;Española;2016;5.670
03 Asturias, Principado de;Total;Española;2015;4.217
03 Asturias, Principado de;Total;Española;2014;4.234
03 Asturias, Principado de;Total;Española;2013;4.214
03 Asturias, Principado de;Total;Extranjera;2021;651
03 Asturias, Principado de;Total;Extranjera;2020;447
03 Asturias, Principado de;Total;Extranjera;2019;612
03 Asturias, Principado de;Total;Extranjera;2018;577
03 Asturias, Principado de;Total;Extranjera;2017;612
03 Asturias, Principado de;Total;Extranjera;2016;641
03 Asturias, Principado de;Total;Extranjera;2015;466
03 Asturias, Principado de;Total;Extranjera;2014;479
03 Asturias, Principado de;Total;Extranjera;2013;488
03 Asturias, Principado de;Hombres;Total;2021;4.659
03 Asturias, Principado de;Hombres;Total;2020;3.727
03 Asturias, Principado de;Hombres;Total;2019;4.815
03 Asturias, Principado de;Hombres;Total;2018;4.930
03 Asturias, Principado de;Hombres;Total;2017;5.085
03 Asturias, Principado de;Hombres;Total;2016;5.093
03 Asturias, Principado de;Hombres;Total;2015;3.982
03 Asturias, Principado de;Hombres;Total;2014;4.094
03 Asturias, Principado de;Hombres;Total;2013;4.146
03 Asturias, Principado de;Hombres;Española;2021;4.166
03 Asturias, Principado de;Hombres;Española;2020;3.386
03 Asturias, Principado de;Hombres;Española;2019;4.358
